dia,ordem,lat,lon,bairro,cluster_id,super_cluster_id,prioridade,score_medio,n_cells,raio_m,inherited_share,motivo_parada,tipo_validacao
day2,1,-22.389185,-41.817595,São Marcos,16|30,6,alta,93.88,52,803.0,0.299,2 micro-cluster(s) unidos; 52 cells; score médio 94; escritórios + proximidade a âncoras + diversidade de usos + conectividade viária.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
day2,2,-22.402996,-41.847155,Cancela Preta,14,10,alta,88.91,47,705.0,0.278,1 micro-cluster(s) unidos; 47 cells; score médio 89; proximidade a âncoras + escritórios + densidade residencial + educação.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
day2,3,-22.402829,-41.819485,São Marcos,24,12,alta,87.42,32,583.0,0.084,1 micro-cluster(s) unidos; 32 cells; score médio 87; proximidade a âncoras + transporte + educação + densidade residencial.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
day2,4,-22.405321,-41.811251,Bosque Azul,20,9,alta,88.64,35,535.0,0.163,1 micro-cluster(s) unidos; 35 cells; score médio 89; proximidade a âncoras + educação + transporte + academia.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
day2,5,-22.391348,-41.798178,Visconde de Araújo,10,11,alta,86.49,54,671.0,0.172,1 micro-cluster(s) unidos; 54 cells; score médio 86; proximidade a âncoras + conectividade viária + densidade residencial + educação.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
day2,6,-22.397573,-41.783955,Glória,19,8,alta,88.45,40,552.0,0.408,1 micro-cluster(s) unidos; 40 cells; score médio 88; proximidade a âncoras + academia + educação + diversidade de usos.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
