h3,lat,lon,bairro,cluster_id,score_final,direct_activity_score,inherited_score,actionability_score,priority_tier,flags
89a8b1a2637ffff,-22.402165703289537,-41.795485429516944,Glória,1,100.0,77.43314474871306,22.56685525128694,100.0,visitar_agora,
89a8b1a20cbffff,-22.40055787565892,-41.79852265904519,Granja dos Cavaleiros,1,99.91596638655463,79.07459171050706,20.841374676047565,99.91596638655463,visitar_agora,
89a8b1a2623ffff,-22.400653289344007,-41.792381082967054,Glória,1,99.74789915966386,82.37839822917006,17.3695009304938,99.74789915966386,visitar_agora,
89a8b1a20dbffff,-22.403678032855467,-41.79858979206785,Glória,1,99.66386554621849,81.62468614951162,18.03917939670687,99.66386554621849,visitar_agora,
89a8b1a2053ffff,-22.397437608890776,-41.79845552667944,Granja dos Cavaleiros,3,99.57983193277312,70.16946405761631,29.41036787515681,99.57983193277312,visitar_agora,
89a8b1a20c3ffff,-22.402070174585305,-41.80162702221769,Granja dos Cavaleiros,2,99.49579831932772,65.79159240631822,33.7042059130095,99.49579831932772,visitar_agora,
89a8b1a20d3ffff,-22.40519027802996,-41.80169417060168,Bosque Azul,2,99.41176470588235,78.49750189259946,20.91426281328289,99.41176470588235,visitar_agora,
89a8b1a262fffff,-22.397533024674434,-41.79231398066777,Granja dos Cavaleiros,4,99.32773109243696,80.36651392486141,18.961217167575555,99.32773109243696,visitar_agora,
89a8b1a26afffff,-22.405285804649925,-41.795552547834816,Glória,1,99.15966386554621,71.86266671635383,27.29699714919238,99.15966386554621,visitar_agora,
89a8b1a205bffff,-22.395925171848084,-41.795351194851534,Granja dos Cavaleiros,3,99.04889221488679,65.47177242551932,33.57711978936747,99.04889221488679,visitar_agora,
89a8b1a20cfffff,-22.39894996156255,-41.80155987449075,Morro de São Jorge,1,99.24369747899159,59.039061211252374,40.20463626773922,98.98818640422036,visitar_agora,
89a8b1a2627ffff,-22.39904549235134,-41.795418311855855,Granja dos Cavaleiros,1,99.83193277310924,56.68852205896974,43.143410714139506,98.22391141375486,visitar_agora,
89a8b1a26a7ffff,-22.406798080467688,-41.79865692574744,Glória,5,98.0841965618148,68.43388517367653,29.650311388138277,98.0841965618148,visitar_agora,
89a8b1a262bffff,-22.39914079103073,-41.789276752436294,Glória,4,97.9471481024388,69.86775012606039,28.079397976378417,97.9471481024388,visitar_agora,
