h3,lat,lon,bairro,score_final,beach_proximity,actionability_scenario_beach_tourism,actionability_scenario_convenience_urban,score_scenario_beach_tourism,score_scenario_convenience_urban,delta_score_urban_minus_beach
8aa8b1b0a50ffff,-22.4402066469385,-41.80025367909511,Riviera Fluminense,14.810414047477726,0.0,14.81,14.81,14.81,14.81,0.0
8aa8b1b0a487fff,-22.43648079964089,-41.79622376694621,Costa do Sol,15.680746794300926,0.0,15.68,15.68,15.68,15.68,0.0
8aa8b1b0a48ffff,-22.435576037044463,-41.79708200455621,Costa do Sol,16.64351833841352,0.0,16.64,16.64,16.64,16.64,0.0
8aa8b1b0a497fff,-22.436278452534587,-41.79490284670749,Costa do Sol,15.305473355645313,0.0,15.31,15.31,15.31,15.31,0.0
8aa8b1b0a49ffff,-22.435373694921417,-41.795761085767026,Costa do Sol,16.231410095612404,0.0,16.23,16.23,16.23,16.23,0.0
8aa8b1b0a4a7fff,-22.437587889286696,-41.79668644975969,Costa do Sol,15.173409831988987,0.0,15.17,15.17,15.17,15.17,0.0
8aa8b1b0a4affff,-22.436683135578207,-41.79754468825561,Costa do Sol,16.09940556489025,0.0,16.1,16.1,16.1,16.1,0.0
8aa8b1b0a4b7fff,-22.437385548366038,-41.79536552700043,Costa do Sol,14.725336006871725,0.0,14.73,14.73,14.73,14.73,0.0
8aa8b1b0a4c7fff,-22.434873586549273,-41.79926115823791,Costa do Sol,17.9911407714246,0.0,17.99,17.99,17.99,17.99,0.0
8aa8b1b0a6c7fff,-22.428539728104287,-41.80526872953614,Virgem Santa,24.99820868894274,0.0,25.0,25.0,25.0,25.0,0.0
8aa8b1b0a6cffff,-22.427634835721697,-41.80612694465122,Virgem Santa,26.090305380637098,0.0,26.09,26.09,26.09,26.09,0.0
8aa8b1b0a6d7fff,-22.42833743700028,-41.803947821302096,Costa do Sol,24.621203663660847,0.0,24.62,24.62,24.62,24.62,0.0
8aa8b1b0a6dffff,-22.4274325495973,-41.804806037872936,Virgem Santa,25.663373461976214,0.0,25.66,25.66,25.66,25.66,0.0
8aa8b1b0a6e7fff,-22.429646891539903,-41.80573142283244,Virgem Santa,24.491197171960522,0.0,24.49,24.49,24.49,24.49,0.0
8aa8b1b0a6effff,-22.428742008041525,-41.80658963883121,Virgem Santa,25.57515023658371,0.0,25.58,25.58,25.58,25.58,0.0
8aa8b1b0a6f7fff,-22.42944460662296,-41.80441051208128,Costa do Sol,23.934100900573018,0.0,23.93,23.93,23.93,23.93,0.0
8aa8b1b0a707fff,-22.43477796350159,-41.80540306819968,Costa do Sol,20.576097095791944,0.0,20.58,20.58,20.58,20.58,0.0
8aa8b1b0a677fff,-22.43095630746501,-41.80751503208998,Virgem Santa,24.289426702136424,0.0,24.29,24.29,24.29,24.29,0.0
8aa8b1b0a687fff,-22.4301471702126,-41.80223138114322,Costa do Sol,22.51559581835052,0.0,22.52,22.52,22.52,22.52,0.0
8aa8b1b0a68ffff,-22.429242310538974,-41.80308960239206,Costa do Sol,23.603819765739992,0.0,23.6,23.6,23.6,23.6,0.0
8aa8b1b0a697fff,-22.4299448579812,-41.80091047106368,Costa do Sol,22.092134132161615,0.0,22.09,22.09,22.09,22.09,0.0
8aa8b1b0a69ffff,-22.429040003288204,-41.80176869376619,Costa do Sol,23.11310771043124,0.0,23.11,23.11,23.11,23.11,0.0
8aa8b1b0a6a7fff,-22.431254322065445,-41.80269407015374,Costa do Sol,21.879872852703127,0.0,21.88,21.88,21.88,21.88,0.0
8aa8b1b0a6affff,-22.43034947127694,-41.80355229228703,Costa do Sol,22.863489967589988,0.0,22.86,22.86,22.86,22.86,0.0
8aa8b1b0a6b7fff,-22.431052016020374,-41.80137315755594,Costa do Sol,21.523875922554218,0.0,21.52,21.52,21.52,21.52,0.0
8aa8b1b0a62ffff,-22.431861173194044,-41.80665681432418,Costa do Sol,23.242755178080202,0.0,23.24,23.24,23.24,23.24,0.0
8aa8b1b0a637fff,-22.432563747536186,-41.804477676976894,Costa do Sol,21.82763932363974,0.0,21.83,21.83,21.83,21.83,0.0
8aa8b1b0a647fff,-22.430051427871625,-41.80837324751498,Virgem Santa,25.407726020241196,0.0,25.41,25.41,25.41,25.41,0.0
8aa8b1b0a64ffff,-22.42914653441467,-41.809231460598824,Virgem Santa,26.49321171396642,0.0,26.49,26.49,26.49,26.49,0.0
8aa8b1b0a657fff,-22.429849165289546,-41.80705233464414,Virgem Santa,24.92232011722348,0.0,24.92,24.92,24.92,24.92,0.0
8aa8b1b0a65ffff,-22.42894427681174,-41.807910549185905,Virgem Santa,26.04765309245186,0.0,26.05,26.05,26.05,26.05,0.0
8aa8b1b0a667fff,-22.431158563858524,-41.808835947476794,Virgem Santa,24.69868197078589,0.0,24.7,24.7,24.7,24.7,0.0
8aa8b1b0a66ffff,-22.430253679285883,-41.80969416144356,Virgem Santa,25.772969080292896,0.0,25.77,25.77,25.77,25.77,0.0
8aa8b1b0a5a7fff,-22.440706745413678,-41.79675357768531,Riviera Fluminense,13.063499319541744,0.0,13.06,13.06,13.06,13.06,0.0
8aa8b1b0a5affff,-22.439802023354396,-41.79761182028922,Riviera Fluminense,13.977319207136363,0.0,13.98,13.98,13.98,13.98,0.0
8aa8b1b0a5b7fff,-22.440504411881676,-41.79543264843554,Riviera Fluminense,12.774093324661237,0.0,12.77,12.77,12.77,12.77,0.0
