dia,ordem,lat,lon,bairro,cluster_id,super_cluster_id,prioridade,score_medio,n_cells,raio_m,inherited_share,motivo_parada,tipo_validacao
day1,1,-22.392019,-41.787807,Aroeira,10,6,alta,79.66,23,460.0,0.332,1 micro-cluster(s) unidos; 23 cells; score médio 80; proximidade a âncoras + comércio + diversidade de usos + conectividade viária.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
day1,2,-22.398671,-41.789722,Glória,2|13,2,média,90.61,54,638.0,0.511,2 micro-cluster(s) unidos; 54 cells; score médio 91; proximidade a âncoras + diversidade de usos + comércio + alimentação.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
day1,3,-22.39933,-41.798432,Granja dos Cavaleiros,1,1,alta,94.52,41,593.0,0.435,1 micro-cluster(s) unidos; 41 cells; score médio 95; proximidade a âncoras + diversidade de usos + alimentação + mercado/conveniência.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
day1,4,-22.402872,-41.808556,Nova Holanda,5,5,alta,83.62,36,652.0,0.388,1 micro-cluster(s) unidos; 36 cells; score médio 84; proximidade a âncoras + diversidade de usos + transporte + mercado/conveniência.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
day1,5,-22.397002,-41.812074,Nova Holanda,7,7,alta,76.98,37,559.0,0.444,1 micro-cluster(s) unidos; 37 cells; score médio 77; proximidade a âncoras + diversidade de usos + mercado/conveniência + escritórios.,"Caminhar o corredor inteiro; validar presença de comércio denso + fluxo; anotar hosts candidatos (padaria, farmácia, academia, mercado, salão)."
